"id"	"name"	"plural"
"1"	"almond"	"almonds"
"2"	"anchovy"	"anchovies"
"3"	"anisette-sponge"	"anisette-sponges"
"4"	"apple"	"apples"
"5"	"apricot"	"apricots"
"6"	"artichoke"	"artichokes"
"7"	"atemoya"	"atemoyas"
"8"	"avocado"	"avocados"
"10"	"back"	"backs"
"11"	"bag"	"bags"
"12"	"bagel"	"bagels"
"13"	"bagel (mini)"	"bagel (mini)s"
"14"	"ball"	"balls"
"15"	"balsam-pear"	"balsam-pears"
"16"	"banana"	"bananas"
"17"	"bar"	"bars"
"18"	"bean"	"beans"
"19"	"beet"	"beets"
"20"	"berry"	"berries"
"21"	"bird"	"birds"
"22"	"biscuit"	"biscuits"
"23"	"blintz"	"blintzes"
"24"	"blizzard"	"blizzards"
"25"	"block"	"blocks"
"27"	"bottle"	"bottles"
"28"	"bowl"	"bowls"
"29"	"box"	"boxes"
"30"	"brat"	"brats"
"31"	"breadstick"	"breadsticks"
"32"	"breakfast"	"breakfasts"
"33"	"breast"	"breasts"
"34"	"broadbean"	"broadbeans"
"35"	"brownie"	"brownies"
"36"	"bulb"	"bulbs"
"37"	"bun"	"buns"
"38"	"bunch"	"bunches"
"39"	"burger"	"burgers"
"40"	"burrito"	"burritos"
"41"	"burrito (small)"	"burrito (small)s"
"42"	"cake"	"cakes"
"43"	"can"	"cans"
"44"	"cantaloupe-balls"	"cantaloupe-ballses"
"45"	"cap"	"caps"
"46"	"caper"	"capers"
"47"	"caplet"	"caplets"
"48"	"capon"	"capons"
"49"	"capsule"	"capsules"
"50"	"carrot"	"carrots"
"51"	"carton"	"cartons"
"52"	"chalupa"	"chalupas"
"53"	"chayote"	"chayotes"
"54"	"cherry"	"cherries"
"55"	"chicken"	"chickens"
"56"	"chicken-skin"	"chicken-skins"
"57"	"chiclets"	"chicletses"
"58"	"chile"	"chiles"
"59"	"chimichanga"	"chimichangas"
"60"	"chip"	"chips"
"61"	"chop"	"chops"
"62"	"clove"	"cloves"
"63"	"cob"	"cobs"
"65"	"coconut-yield"	"coconut-yields"
"66"	"coffee-roll"	"coffee-rolls"
"67"	"cone"	"cones"
"68"	"coney"	"coneies"
"69"	"container"	"containers"
"70"	"cookie"	"cookies"
"71"	"corn"	"corns"
"72"	"corndog"	"corndogs"
"73"	"crab"	"crabs"
"74"	"cracker"	"crackers"
"75"	"crayfish"	"crayfishes"
"76"	"cream-puff"	"cream-pufves"
"77"	"cream-puff-shell"	"cream-puff-shells"
"78"	"crepe"	"crepes"
"79"	"chip"	"chips"
"80"	"crispbread"	"crispbreads"
"81"	"crispy-crown"	"crispy-crowns"
"82"	"crock"	"crocks"
"83"	"croissant"	"croissants"
"84"	"croissant (small)"	"croissant (small)s"
"85"	"crouton"	"croutons"
"86"	"cruller"	"crullers"
"87"	"crust"	"crusts"
"88"	"cube"	"cubes"
"89"	"cubic-inch"	"cubic-inches"
"90"	"cucumber"	"cucumbers"
"91"	"cup"	"cups"
"92"	"cupcake"	"cupcakes"
"93"	"danish"	"danishes"
"94"	"dash"	"dashes"
"95"	"date"	"dates"
"96"	"dates"	"dateses"
"97"	"dessert"	"desserts"
"98"	"dinner"	"dinners"
"99"	"dog"	"dogs"
"100"	"dolma"	"dolmas"
"101"	"donut"	"donuts"
"102"	"doughnut"	"doughnuts"
"103"	"drink"	"drinks"
"104"	"drink-box"	"drink-boxes"
"105"	"drop"	"drops"
"106"	"drumstick"	"drumsticks"
"107"	"duck"	"ducks"
"108"	"ear"	"ears"
"109"	"ear (half)"	"ear (half)s"
"110"	"eclair"	"eclairs"
"111"	"egg"	"eggs"
"112"	"egg roll"	"egg rolls"
"113"	"eggplant"	"eggplants"
"114"	"eggroll-wrapper"	"eggroll-wrappers"
"115"	"enchilada"	"enchiladas"
"116"	"enchirito"	"enchiritos"
"117"	"entree"	"entrees"
"118"	"envelope"	"envelopes"
"119"	"envelope-yield"	"envelope-yields"
"120"	"extra-large"	"extra-larges"
"121"	"extra-small"	"extra-smalls"
"122"	"fajita"	"fajitas"
"123"	"fan-fillet"	"fan-fillets"
"124"	"fig"	"figs"
"126"	"fillet"	"fillets"
"127"	"fishball"	"fishballs"
"128"	"fl oz"	"fl oz"
"129"	"flat-fillet"	"flat-fillets"
"130"	"float"	"floats"
"131"	"floret"	"florets"
"132"	"flower"	"flowers"
"133"	"floweret"	"flowerets"
"134"	"focaccia"	"focaccias"
"135"	"frank"	"franks"
"136"	"frankfurter"	"frankfurters"
"137"	"fritter"	"fritters"
"138"	"frond"	"fronds"
"139"	"fruit"	"fruits"
"140"	"gherkin"	"gherkins"
"141"	"giblet"	"giblets"
"142"	"gizzard"	"gizzards"
"143"	"goldfish"	"goldfishes"
"144"	"goose"	"gooses"
"145"	"gordita"	"gorditas"
"146"	"gourd"	"gourds"
"147"	"gram"	"grams"
"148"	"grape"	"grapes"
"149"	"guava"	"guavas"
"151"	"gumdrop"	"gumdrops"
"152"	"gummy-bear"	"gummy-bears"
"153"	"gummy-dinosaur"	"gummy-dinosaurs"
"154"	"gummy-fish"	"gummy-fishes"
"155"	"gummy-worm"	"gummy-worms"
"156"	"gyro"	"gyros"
"157"	"half"	"halves"
"158"	"head"	"heads"
"159"	"heart"	"hearts"
"160"	"honeybun"	"honeybuns"
"161"	"honeydew-ball"	"honeydew-balls"
"162"	"hotcake"	"hotcakes"
"163"	"hotdog"	"hotdogs"
"164"	"hushpuppy"	"hushpuppies"
"165"	"inch"	"inches"
"166"	"inner-leaf"	"inner-leaves"
"167"	"inside-drum"	"inside-drums"
"168"	"item"	"items"
"169"	"jalapeno"	"jalapenos"
"170"	"jar"	"jars"
"171"	"jelly-bean"	"jelly-beans"
"172"	"jelly-ring"	"jelly-rings"
"173"	"kernel"	"kernels"
"174"	"kidney"	"kidneies"
"175"	"kielbasa"	"kielbasas"
"176"	"kisses"	"kisseses"
"177"	"kit"	"kits"
"178"	"ladyfinger"	"ladyfingers"
"179"	"large"	"larges"
"180"	"lb"	"lbs"
"181"	"leaf"	"leaves"
"182"	"leaf (large)"	"leaf (large)s"
"183"	"leaf (medium)"	"leaf (medium)s"
"184"	"leek"	"leeks"
"185"	"leg"	"legs"
"186"	"lemon"	"lemons"
"187"	"lime"	"limes"
"188"	"link"	"links"
"189"	"liter"	"liters"
"190"	"liver"	"livers"
"191"	"loaf"	"loaves"
"192"	"lobster"	"lobsters"
"193"	"lozenge"	"lozenges"
"194"	"lunch"	"lunches"
"195"	"lychee"	"lychees"
"196"	"malt"	"malts"
"197"	"marshmallow"	"marshmallows"
"198"	"marshmallow-fudge"	"marshmallow-fudges"
"199"	"marshmallow-pie"	"marshmallow-pies"
"200"	"matzo"	"matzos"
"201"	"meal"	"meals"
"202"	"meatball"	"meatballs"
"203"	"medallion"	"medallions"
"204"	"medium"	"mediums"
"205"	"melon"	"melons"
"206"	"meximelt"	"meximelts"
"207"	"mini"	"minis"
"208"	"miniature"	"miniatures"
"209"	"ml"	"ml"
